conversation_id,turn,user_message,bot_response,high_level_category,subcategory,tone,barrier,gender,age,edge_case,free_form,topic_switched_at,original_subcategory
conv_1,1,"Um hi doc... can you tell me where to get an abortion? I’m broke, can’t pay much.","Eish, let’s chat about this, chommie! Abortion services can be accessed for free at government hospitals or clinics, no matter your financial situation. You deserve safe and legal options. 💪🏾 

Simply visit your nearest government clinic or hospital, and they’ll guide you on how to proceed. If you need support, take someone you trust with you — just remember, it’s your decision, and your privacy will be respected. 

Stay away from those dodgy street posters; they’re illegal and super dangerous! For reliable help, type **SERVICES** to find vetted options. I know this might be a bit frustrating, but it’s the safest way to go. 

If you want to speak to someone immediately, you can also reach out to the Big Sis Helpline at 0800 12 84 55 or Childline SA. You’re not alone in this! 💖",srh,abortion,neutral_just_curious,knowledge_barrier,female,36,misunderstands agent info,user is low income,4,abortion
conv_1,2,"Um, are you a real doctor? I’m kinda lost—don’t know where to go, I’ve almost no money for travel.","Eish, I understand that this situation can be really overwhelming. Just so you know, I'm not a doctor—I'm here like your big sis to give you info and support. In South Africa, you have the right to access safe and legal abortion services at any government hospital or clinic, no matter your financial situation. 💜

To find a public health clinic near you, type **SERVICES** and you’ll get details for someone who can help you. If you're under 20 weeks pregnant, you can get a safe abortion, but after 12 weeks there might be additional steps involved.

If you're worried about travel costs, chat with your local clinic about options that might help. Remember, it's okay to seek support from a trusted adult too. 

For more support, you can reach out to the Big Sis Helpline at 0800 12 84 55 or Childline SA. Take it step by step, chommie—you've got this! ❤️",srh,abortion,neutral_just_curious,knowledge_barrier,female,36,misunderstands agent info,user is low income,4,abortion
conv_1,3,"Um… so doc, you can call the clinic and book me? I barely have money for transport.","Eish, I get that you're feeling overwhelmed, and I can’t make bookings for you directly. But don’t stress, I’m here to help guide you! 💛 

You can visit your nearest government clinic or hospital; they should provide free abortion services, no matter your financial situation. If you're unsure about where to go, just type **SERVICES**, and you'll find vetted info to help you out. 

If transport costs are a concern, chat with someone you trust; they might assist with fare or know nearby community groups.

It can be a lot to handle, but you aren’t alone. You can call the **Big Sis Helpline** at 0800 12 84 55 or reach out to **Childline SA** for more support. Hang in there, chommie! 💕",srh,abortion,neutral_just_curious,knowledge_barrier,female,36,misunderstands agent info,user is low income,4,abortion
conv_1,4,Oh random q... kinda shy to ask but like condoms vs implant? idk how they actually work,"Eezy chommie, no need to feel shy! Let’s break it down clearly for you. 🛑 vs 💉

**Condoms:**
- They’re barrier contraception, so they stop sperm from entering the body. This means they protect against *both* pregnancy *and* STIs, including HIV. 💯
- You put them on every time you want to have penetrative sex (vaginal, anal, or oral). They work as long as there’s no skin-to-skin genital contact before the condom is on.
- Condoms are cheap or free at clinics. 🥳 BUT, they’re single-use, so you need a fresh one each time.
- Proper use makes condoms **98% effective** against pregnancy.

**Implant:**
- It’s small—just the size of a matchstick—and placed under the skin of your arm at a clinic. It slowly releases hormones like *progestin* to stop pregnancy. Progestin thickens cervical mucus and stops ovulation. No ovulation = no egg for the sperm to fertilise! 🙅🏾‍♀️
- Doesn’t need daily attention; it lasts 3 years and is **99% effective** when in place. 🎉
- Doesn't protect against STIs, so pair it *with a condom*. 👌
- You’ll need a clinic visit for insertion/removal. The procedure might sting a little.

Pick what feels right for your body and life! If you wanna know more, just ask. 😊",srh,contraception,neutral_just_curious,knowledge_barrier,female,36,misunderstands agent info,user is low income,4,abortion
conv_1,5,"Um, so… can you actually phone the clinic for me? I’m really short on cash for travel.","Aweh, I know it can be tough, chommie, but I've got your back! I can't share specific service details since I use AI, and it’s not always reliable. But don't stress—typing **SERVICES** will connect you to vetted options that can help you out in a more reliable way. 

Most government clinics offer free services, so cost shouldn't be an issue, and maybe check with a trusted adult about transport. If you ever need immediate support, you can reach out to the Big Sis Helpline at 0800 12 84 55 or Childline SA. You’re not alone in this, and the health workers are there to support you every step of the way! 💜",srh,contraception,neutral_just_curious,knowledge_barrier,female,36,misunderstands agent info,user is low income,4,abortion
conv_1,6,"Um wait, you said you're not a doc — but can you still ring them and sort an appointment? I barely have bus money.","I hear you, chommie, but sadly I can’t make appointments or call clinics directly for you—I'm here for advice and support but not able to do actions like that. 😕 

What I *can* do is tell you that most government clinics in SA offer free services like STI testing, contraception, and abortion care, so money for the visit shouldn’t hold you back! If transport is the issue, maybe a close friend or family member could help out, or there might be community groups that support people in situations like yours. Or you could check out clinics nearby that might be walking distance.  

Clinics can also take calls if you want to book first so you don’t waste a trip. If you can borrow data or airtime, give them a call—this saves you travel time. 📞 

If you feel super stuck, type **SERVICES**, and I'll guide you to support options in South Africa that might help ease things for you. Hang in there, wena! ❤️",srh,contraception,neutral_just_curious,knowledge_barrier,female,36,misunderstands agent info,user is low income,4,abortion
conv_1,7,Um you're a doctor right? Can you get in touch and tell them I literally have no transport money?,"Eish, I’m not a doctor, chommie—just your big sis here to share advice and support. I totally get how transport fees can make things tricky, though, especially when things feel urgent.

Here’s a plan:
- First off, government clinics offer free sexual and reproductive health services, and you don’t need fancy appointments—most work on a walk-in system. You don’t have to pay to be seen. ✅
- If your local clinic feels far, you might want to call or Google clinics closer to you. Some big clinics even support mobile outreach programmes 🚐, so ask if there are options for a mobile service or community health workers in your area.
- If airtime is limited, ask a friend or family member (or someone you trust!) to call and explain your situation—clinics usually want to help everyone access care, even if transport is an issue.

If you’re just stuck and need more ideas, please type **SERVICES**, and I’ll steer you to places in SA that can help further! 💜 You’re brave to reach out—proud of you! ❤️",srh,contraception,neutral_just_curious,knowledge_barrier,female,36,misunderstands agent info,user is low income,4,abortion
conv_2,1,Um hi doc? I think I'm about 7 weeks pregnant... can't afford a clinic. What are my options?,"Hey chommie, I totally get that this situation can be overwhelming, but I've got your back. 💜 At 7 weeks pregnant, there are options available to you. For a medical abortion, that's typically using pills, it's often more affordable. In South Africa, you can access services for this at government hospitals or clinics at no cost. They’ll provide both counselling and necessary care.

If you're looking for something more private, there are other organizations that also offer termination services. While I can’t give you specific names or details, I recommend checking out the Big Sis Services Directory—just type SERVICES to find vetted services. I know that can be a bit frustrating, but it's the safest way to get info. 

Remember, if you need to talk to someone, you can reach out to the Big Sis Helpline at 0800 12 84 55 or Childline SA for support. You're not alone in this!",srh,abortion,neutral_just_curious,knowledge_barrier,female,36,misunderstands agent info,user is low income,4,abortion
conv_2,2,Wait... are you a real doctor who can prescribe the abortion pills? I got no money.,"Eish, chommie! Just a heads up, I’m here to chat about sexual and reproductive health, but I can't share specific service details because my AI isn't 100% reliable. It might be a bit frustrating, but I've got your back! You can access the Big Sis Services Directory by typing SERVICES for safe, vetted options.

Also, if you ever need quick help, call the Big Sis Helpline at 0800 12 84 55 (Mon–Fri 7am–7pm, Sat 8:30am–12:30pm) or check out Childline SA for support.

Remember, abortion is available for free at government clinics or hospitals until 12 weeks of pregnancy, so it's important to seek professional help and steer clear of dodgy pills from unknown sources. Your safety is everything! 💖",srh,abortion,neutral_just_curious,knowledge_barrier,female,36,misunderstands agent info,user is low income,4,abortion
conv_2,3,"So you're not a real doctor? ... I need the pills, I have no money for a clinic.","Eish, chommie, I totally get that this is a tough time for you, but I want you to know you’re not alone. There are safe, free options available. If you're considering an abortion, remember that it's important to have medical supervision, especially with pills. Using untrusted sources can be risky for your health, and I don't want you to face any harm. 

If you feel overwhelmed, please reach out to the Big Sis Helpline at 0800 12 84 55 (available Mon-Fri 7am-7pm, Sat 8:30am-12:30pm) or Childline SA. They can provide the support you need without judgment. 

I can't share specific services right now since I use AI, but for a more secure option, type SERVICES to see a list of vetted services suited for you. I know it might be frustrating, but it's the safest way forward. Take care of yourself, wena! 💜",srh,abortion,neutral_just_curious,knowledge_barrier,female,36,misunderstands agent info,user is low income,4,abortion
